Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,186,0,40,86.81302591396395,22.947798000132025,962.4525949993767,105935.0,1.0364862488593432,0.0,40,52,64,78,210,300,570,890,960,960,960
GET,GET /alerts,119,0,72,125.40108092439407,44.01335700003983,903.1429429996933,366230.0,0.6631282990014077,0.0,72,90,100,130,280,460,680,890,900,900,900
GET,GET /api/ai/history/sessions,208,0,22,54.5398593701433,11.783735999415512,1151.048952000565,47.0,1.159081396573889,0.0,23,33,41,55,96,170,260,850,1200,1200,1200
GET,GET /api/elasticsearch/alerts/cases,464,0,32,82.55914444826094,16.430989000582485,1350.8418729998084,6413.0,2.5856431154340602,0.0,32,48,62,83,170,280,630,1000,1400,1400,1400
GET,GET /api/notifications,349,0,38,83.48612608594513,19.855231999827083,1201.18824400015,196.06303724928367,1.9448048432898428,0.0,38,50,70,90,190,270,640,890,1200,1200,1200
GET,GET /api/notifications/unread-count,1140,0,38,83.95727172807258,19.198224999854574,1288.0233510004473,30.0,6.3526576542991995,0.0,38,55,73,90,170,310,600,830,1200,1300,1300
GET,GET /api/observables,294,0,46,99.2887340306211,25.125516000116477,1290.675616000044,18879.0,1.6383169740034778,0.0,46,57,74,91,220,450,760,840,1300,1300,1300
GET,GET /api/playbooks,358,0,52,111.48348771789566,27.445710000392864,1444.9678040000435,49388.0,1.9949574037185207,0.0,52,72,100,120,250,370,790,1000,1400,1400,1400
GET,GET /cases,112,0,46,83.95871199106912,24.908499000048323,691.4056690002326,123414.0,0.6241207520013249,0.0,46,58,82,97,180,290,470,580,690,690,690
POST,POST /api/auth/login,50,0,290,343.86209432001124,241.9199790001585,696.5809430002992,174.48,0.2786253357148772,0.0,290,320,370,490,530,530,700,700,700,700,700
,Aggregated,3280,0,41,91.85002739755807,11.783735999415512,1444.9678040000435,31535.28536585366,18.277822022895943,0.0,41,58,77,98,210,320,640,890,1300,1400,1400
